epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4558,1.11319,4.3486,1.42044,0.03666,0.72983,0.10415,0.08301,0.90949,3.35473,1.21969,0.000126645,0.000126645,0.000126645
2,27.2901,0.97171,3.3553,1.33457,0.35938,0.41266,0.37118,0.28124,0.94876,2.33661,1.37598,0.000253295,0.000253295,0.000253295
3,40.5066,0.98674,2.84445,1.33219,0.50344,0.58886,0.50594,0.38892,0.97156,2.10866,1.41002,0.000378252,0.000378252,0.000378252
4,53.1472,0.95766,2.54121,1.30395,0.55747,0.62953,0.61289,0.46199,0.93632,1.67706,1.34624,0.000377377,0.000377377,0.000377377
5,65.2566,0.92296,2.30338,1.26337,0.5872,0.75256,0.74547,0.55738,0.98347,1.55895,1.37994,0.000374836,0.000374836,0.000374836
6,77.389,0.91679,2.1633,1.26682,0.68441,0.72651,0.79053,0.60186,0.95107,1.37621,1.3516,0.000372295,0.000372295,0.000372295
7,89.52,0.89737,2.03247,1.24694,0.79519,0.71578,0.80909,0.63779,0.88898,1.285,1.2792,0.000369754,0.000369754,0.000369754
8,102.302,0.87561,1.86935,1.23601,0.83009,0.77684,0.87616,0.67365,0.91597,1.08838,1.26407,0.000367213,0.000367213,0.000367213
9,115.172,0.88364,1.81843,1.21487,0.87971,0.77889,0.91152,0.71615,0.88007,1.01706,1.24857,0.000364672,0.000364672,0.000364672
10,127.169,0.85385,1.653,1.19149,0.86724,0.83434,0.91198,0.72469,0.84704,0.96248,1.21308,0.000362131,0.000362131,0.000362131
11,139.176,0.8597,1.59949,1.17855,0.86917,0.79954,0.90908,0.71759,0.88431,1.01286,1.24352,0.00035959,0.00035959,0.00035959
12,150.909,0.84387,1.49819,1.17098,0.88747,0.83801,0.9156,0.73964,0.80957,0.90997,1.20296,0.000357049,0.000357049,0.000357049
13,162.585,0.83015,1.47797,1.17557,0.86611,0.86467,0.93297,0.73973,0.84663,0.89203,1.22145,0.000354508,0.000354508,0.000354508
14,174.301,0.80334,1.38222,1.17001,0.88712,0.84263,0.93095,0.74845,0.81043,0.86187,1.19677,0.000351967,0.000351967,0.000351967
15,185.996,0.79917,1.29706,1.1543,0.93307,0.86263,0.95616,0.77133,0.83603,0.79457,1.20791,0.000349426,0.000349426,0.000349426
16,197.653,0.80375,1.30882,1.14594,0.92981,0.85893,0.94776,0.75821,0.81454,0.77915,1.20244,0.000346885,0.000346885,0.000346885
17,209.357,0.78455,1.27639,1.15047,0.9527,0.90893,0.97407,0.76441,0.84991,0.73925,1.21168,0.000344344,0.000344344,0.000344344
18,221.019,0.79139,1.21395,1.14594,0.94176,0.90631,0.96987,0.76878,0.84036,0.73771,1.19406,0.000341803,0.000341803,0.000341803
19,232.716,0.77542,1.1682,1.13624,0.92446,0.89393,0.96634,0.77302,0.8191,0.70874,1.19026,0.000339262,0.000339262,0.000339262
20,244.414,0.76986,1.13452,1.12232,0.94236,0.9166,0.96395,0.76729,0.79854,0.72814,1.2007,0.000336721,0.000336721,0.000336721
21,256.068,0.75471,1.09939,1.12407,0.90306,0.91647,0.9571,0.77755,0.81984,0.71445,1.2077,0.00033418,0.00033418,0.00033418
22,267.79,0.79964,1.11177,1.14319,0.9137,0.89243,0.96396,0.77332,0.84104,0.71549,1.20699,0.000331639,0.000331639,0.000331639
23,279.509,0.73743,1.05003,1.1205,0.95705,0.92535,0.97908,0.77061,0.83969,0.62654,1.21078,0.000329098,0.000329098,0.000329098
24,291.313,0.76681,1.05967,1.12302,0.92623,0.93222,0.97383,0.78999,0.80106,0.64612,1.18581,0.000326557,0.000326557,0.000326557
25,303.011,0.75275,1.03775,1.11469,0.90596,0.93447,0.97334,0.79534,0.78352,0.64207,1.16645,0.000324016,0.000324016,0.000324016
26,314.623,0.74799,0.96028,1.10846,0.95546,0.94137,0.98029,0.79159,0.81185,0.59312,1.1917,0.000321475,0.000321475,0.000321475
27,326.277,0.73709,0.99015,1.11014,0.92193,0.92771,0.97124,0.78984,0.79714,0.63742,1.18474,0.000318934,0.000318934,0.000318934
28,337.963,0.72582,0.943,1.09975,0.953,0.93897,0.98312,0.79483,0.80504,0.58024,1.18515,0.000316393,0.000316393,0.000316393
29,349.569,0.73892,0.95881,1.11164,0.9724,0.94036,0.98385,0.79704,0.78513,0.55957,1.16609,0.000313852,0.000313852,0.000313852
30,361.2,0.70857,0.87743,1.07847,0.9563,0.92869,0.98146,0.78709,0.79893,0.59805,1.18896,0.000311311,0.000311311,0.000311311
31,372.982,0.71411,0.902,1.09539,0.95367,0.95503,0.98058,0.79304,0.80412,0.59487,1.18678,0.00030877,0.00030877,0.00030877
32,384.661,0.71294,0.89826,1.09165,0.95035,0.96861,0.98802,0.80093,0.78891,0.55308,1.17592,0.000306229,0.000306229,0.000306229
33,396.922,0.70136,0.87814,1.08685,0.91405,0.94651,0.97666,0.79722,0.79227,0.59881,1.17537,0.000303688,0.000303688,0.000303688
34,409.165,0.69904,0.84066,1.08517,0.93423,0.94726,0.98242,0.7992,0.7819,0.57359,1.1813,0.000301147,0.000301147,0.000301147
35,421.43,0.69565,0.81247,1.07926,0.95611,0.94274,0.98574,0.81147,0.77107,0.54949,1.15405,0.000298606,0.000298606,0.000298606
36,433.801,0.7093,0.81699,1.08255,0.95508,0.95622,0.98637,0.79889,0.79746,0.5398,1.16626,0.000296065,0.000296065,0.000296065
37,446.053,0.68208,0.81435,1.07453,0.96156,0.96956,0.98793,0.81211,0.77723,0.51578,1.17053,0.000293524,0.000293524,0.000293524
38,458.239,0.68154,0.79243,1.07013,0.93601,0.97001,0.98685,0.79731,0.77527,0.5409,1.18101,0.000290983,0.000290983,0.000290983
39,470.602,0.69555,0.80441,1.07559,0.95285,0.94415,0.98299,0.79603,0.79895,0.56101,1.1841,0.000288442,0.000288442,0.000288442
40,482.889,0.68963,0.78561,1.07812,0.949,0.96235,0.98595,0.81088,0.78272,0.52173,1.17826,0.000285901,0.000285901,0.000285901
41,495.207,0.6631,0.76876,1.06681,0.95716,0.97061,0.98699,0.80854,0.76838,0.50288,1.17144,0.00028336,0.00028336,0.00028336
42,507.521,0.67511,0.75392,1.06404,0.95533,0.97453,0.98713,0.81038,0.77665,0.51031,1.15915,0.000280819,0.000280819,0.000280819
43,519.914,0.66583,0.74047,1.06335,0.94781,0.97178,0.98475,0.80224,0.77397,0.52756,1.1772,0.000278278,0.000278278,0.000278278
44,532.163,0.6542,0.73577,1.05663,0.94807,0.97077,0.97891,0.80918,0.75738,0.50913,1.16218,0.000275737,0.000275737,0.000275737
45,544.374,0.65958,0.75307,1.06585,0.96065,0.9491,0.98742,0.80717,0.78541,0.49705,1.16671,0.000273196,0.000273196,0.000273196
46,556.644,0.64313,0.7223,1.05767,0.95607,0.96004,0.98818,0.80535,0.79692,0.48744,1.19592,0.000270655,0.000270655,0.000270655
47,569.18,0.63444,0.7072,1.04736,0.96853,0.95333,0.98162,0.81068,0.78043,0.49077,1.18609,0.000268114,0.000268114,0.000268114
48,581.47,0.66074,0.69348,1.06193,0.94456,0.96027,0.98057,0.80554,0.7751,0.5094,1.15822,0.000265573,0.000265573,0.000265573
49,593.784,0.65341,0.71653,1.05218,0.92982,0.97584,0.98318,0.81072,0.75159,0.47089,1.16324,0.000263032,0.000263032,0.000263032
50,606.015,0.65746,0.69342,1.05419,0.96169,0.96709,0.98828,0.81348,0.74267,0.45748,1.13958,0.000260491,0.000260491,0.000260491
51,618.385,0.64514,0.70007,1.04318,0.95255,0.96979,0.98791,0.81673,0.74736,0.47526,1.15371,0.00025795,0.00025795,0.00025795
52,630.624,0.63332,0.67049,1.03977,0.9636,0.96535,0.98249,0.80701,0.76171,0.47817,1.14951,0.000255409,0.000255409,0.000255409
53,642.912,0.6293,0.66689,1.04118,0.95269,0.95223,0.98317,0.81365,0.75641,0.49641,1.14339,0.000252868,0.000252868,0.000252868
54,655.143,0.63928,0.66456,1.04856,0.95209,0.94747,0.97791,0.81783,0.73693,0.48587,1.1322,0.000250327,0.000250327,0.000250327
55,667.526,0.63061,0.67413,1.0382,0.96234,0.95744,0.9823,0.81923,0.75242,0.46388,1.14975,0.000247786,0.000247786,0.000247786
