epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2241,1.07268,3.69749,1.46265,0.4803,0.53759,0.51116,0.39896,0.92824,2.39331,1.37123,0.000126645,0.000126645,0.000126645
2,77.671,0.92209,2.17003,1.32389,0.65477,0.66197,0.68477,0.53587,0.96719,1.83116,1.52912,0.000253295,0.000253295,0.000253295
3,116.082,0.95923,1.85326,1.33423,0.69013,0.65958,0.73095,0.55965,1.01845,1.61991,1.52867,0.000378252,0.000378252,0.000378252
4,154.356,0.95768,1.65104,1.34023,0.73106,0.56721,0.69356,0.53148,1.01182,1.60942,1.53744,0.000377377,0.000377377,0.000377377
5,192.437,0.90857,1.49737,1.32169,0.79464,0.7166,0.80309,0.63382,0.90101,1.3737,1.4252,0.000374836,0.000374836,0.000374836
6,230.56,0.90212,1.41594,1.31034,0.78232,0.77868,0.85647,0.64403,0.9215,1.153,1.42157,0.000372295,0.000372295,0.000372295
7,268.535,0.89384,1.31139,1.29276,0.80745,0.75991,0.8464,0.66654,0.90083,1.07195,1.38481,0.000369754,0.000369754,0.000369754
8,306.428,0.88465,1.21648,1.29162,0.80521,0.81628,0.88935,0.70675,0.86372,0.98714,1.3223,0.000367213,0.000367213,0.000367213
9,344.462,0.89085,1.19557,1.29194,0.87812,0.81387,0.92174,0.73059,0.86797,0.81444,1.34554,0.000364672,0.000364672,0.000364672
10,382.841,0.84002,1.11216,1.25095,0.88623,0.79881,0.89991,0.71776,0.87162,0.87213,1.32953,0.000362131,0.000362131,0.000362131
11,421.06,0.8535,1.0831,1.25734,0.94144,0.78773,0.92249,0.7414,0.87237,0.7851,1.34108,0.00035959,0.00035959,0.00035959
12,459.454,0.84319,1.03767,1.25042,0.88459,0.88368,0.93919,0.74978,0.84781,0.71036,1.30148,0.000357049,0.000357049,0.000357049
13,497.919,0.8266,0.99198,1.22943,0.9212,0.8143,0.93311,0.71467,0.9017,0.81582,1.36367,0.000354508,0.000354508,0.000354508
14,536.366,0.79831,0.96297,1.22121,0.91882,0.86797,0.9454,0.74781,0.85652,0.68366,1.33251,0.000351967,0.000351967,0.000351967
15,574.819,0.79791,0.90964,1.22392,0.92898,0.85035,0.95006,0.75358,0.82042,0.70057,1.28727,0.000349426,0.000349426,0.000349426
16,613.386,0.79365,0.93148,1.21147,0.93022,0.86256,0.94717,0.76621,0.80249,0.69563,1.29324,0.000346885,0.000346885,0.000346885
17,651.983,0.77437,0.89206,1.20613,0.92923,0.8642,0.94724,0.76366,0.80851,0.68263,1.28412,0.000344344,0.000344344,0.000344344
18,690.492,0.7727,0.88278,1.21116,0.95413,0.90684,0.9569,0.77437,0.83218,0.62185,1.30265,0.000341803,0.000341803,0.000341803
19,728.95,0.75167,0.85259,1.19706,0.93029,0.85441,0.9572,0.75943,0.85215,0.66726,1.33894,0.000339262,0.000339262,0.000339262
20,767.218,0.74683,0.81674,1.18696,0.95003,0.88613,0.96302,0.77225,0.81764,0.63986,1.29166,0.000336721,0.000336721,0.000336721
21,805.499,0.73847,0.79587,1.18157,0.92625,0.93681,0.97213,0.7796,0.81439,0.54492,1.28917,0.00033418,0.00033418,0.00033418
22,843.771,0.77102,0.81322,1.2001,0.95184,0.87297,0.97498,0.77144,0.81748,0.59396,1.30043,0.000331639,0.000331639,0.000331639
23,881.91,0.71105,0.77698,1.16506,0.95446,0.89512,0.97313,0.7774,0.80375,0.58226,1.28736,0.000329098,0.000329098,0.000329098
24,920.167,0.75707,0.80808,1.18389,0.96098,0.90247,0.97374,0.79774,0.78634,0.54427,1.26032,0.000326557,0.000326557,0.000326557
25,958.455,0.73461,0.74528,1.16913,0.9395,0.92526,0.96921,0.79461,0.79897,0.51263,1.28203,0.000324016,0.000324016,0.000324016
26,996.748,0.71541,0.7439,1.16611,0.93951,0.90985,0.95845,0.76893,0.8156,0.5476,1.29521,0.000321475,0.000321475,0.000321475
27,1035.05,0.71597,0.74397,1.15672,0.96287,0.94071,0.98005,0.80112,0.78773,0.47635,1.26022,0.000318934,0.000318934,0.000318934
28,1073.59,0.71665,0.71186,1.15665,0.93982,0.91716,0.97483,0.79001,0.788,0.50815,1.26544,0.000316393,0.000316393,0.000316393
29,1112.02,0.72176,0.74053,1.15922,0.96129,0.93681,0.98112,0.80135,0.77324,0.47865,1.26821,0.000313852,0.000313852,0.000313852
30,1150.49,0.69048,0.67807,1.12626,0.97492,0.94528,0.98626,0.8042,0.77679,0.47807,1.24871,0.000311311,0.000311311,0.000311311
31,1188.93,0.6869,0.68778,1.13623,0.95185,0.94699,0.98049,0.78683,0.79252,0.48042,1.26573,0.00030877,0.00030877,0.00030877
32,1227.16,0.68256,0.68613,1.13038,0.95031,0.96322,0.98287,0.80015,0.77588,0.47548,1.25293,0.000306229,0.000306229,0.000306229
33,1265.74,0.67928,0.67208,1.12964,0.96232,0.94276,0.9827,0.80309,0.75594,0.48435,1.26056,0.000303688,0.000303688,0.000303688
34,1304.01,0.68615,0.65468,1.13583,0.94142,0.93947,0.98181,0.80789,0.74455,0.47459,1.22808,0.000301147,0.000301147,0.000301147
35,1342.33,0.66971,0.65034,1.1229,0.92943,0.94855,0.98229,0.793,0.78191,0.47834,1.25641,0.000298606,0.000298606,0.000298606
36,1380.63,0.68716,0.64924,1.13867,0.95274,0.96453,0.98737,0.80443,0.78083,0.44037,1.27089,0.000296065,0.000296065,0.000296065
37,1418.76,0.64969,0.6297,1.1122,0.93965,0.94962,0.98377,0.80436,0.76364,0.46659,1.26168,0.000293524,0.000293524,0.000293524
