epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.458,1.08486,4.42352,1.43805,0.04828,0.50953,0.09056,0.06867,0.77809,4.73522,1.18234,0.000126389,0.000126389,0.000126389
2,552.676,0.91187,3.87899,1.28967,0.40092,0.25927,0.22199,0.16578,0.87464,4.09669,1.28427,0.0002522,0.0002522,0.0002522
3,824.324,0.94749,3.4474,1.28038,0.23009,0.48181,0.30405,0.21936,0.92903,4.0198,1.39084,0.000375471,0.000375471,0.000375471
4,1095.95,0.95136,3.09422,1.30218,0.43872,0.39572,0.39334,0.29567,0.87863,3.43561,1.28893,0.000373565,0.000373565,0.000373565
5,1367.79,0.91247,2.91135,1.25215,0.44805,0.44288,0.43949,0.3375,0.85479,3.26566,1.28251,0.000369754,0.000369754,0.000369754
6,1639.37,0.9302,2.6966,1.30066,0.53815,0.51381,0.53991,0.42622,0.82018,2.97789,1.22007,0.000365942,0.000365942,0.000365942
7,1910.85,0.92104,2.46067,1.24851,0.55201,0.55979,0.58776,0.45364,0.83912,2.77405,1.21927,0.000362131,0.000362131,0.000362131
8,2183.17,0.90379,2.35074,1.24341,0.51234,0.59616,0.59749,0.44974,0.85873,2.64307,1.30319,0.000358319,0.000358319,0.000358319
9,2455.51,0.85315,2.21045,1.17979,0.54904,0.67725,0.65196,0.53197,0.83005,2.45173,1.22003,0.000354508,0.000354508,0.000354508
10,2728.92,0.89823,2.18489,1.23418,0.64862,0.61145,0.65961,0.53273,0.80585,2.33545,1.21743,0.000350697,0.000350697,0.000350697
11,3003.58,0.87617,2.05182,1.2341,0.56667,0.6946,0.69627,0.55315,0.81452,2.41721,1.19063,0.000346885,0.000346885,0.000346885
12,3276.9,0.8468,1.94336,1.18768,0.65906,0.68945,0.71691,0.5827,0.75751,2.14167,1.15028,0.000343074,0.000343074,0.000343074
13,3549.21,0.83014,1.89936,1.18562,0.73461,0.62305,0.74221,0.60044,0.78437,2.03148,1.17356,0.000339262,0.000339262,0.000339262
14,3821.67,0.80818,1.78143,1.16438,0.68147,0.77256,0.80236,0.6505,0.77584,1.90402,1.16487,0.00033545,0.00033545,0.00033545
15,4094.7,0.82624,1.72677,1.17023,0.80605,0.68047,0.79323,0.64102,0.82626,1.87863,1.22913,0.000331639,0.000331639,0.000331639
16,4367.12,0.80137,1.68541,1.15471,0.80531,0.73587,0.80876,0.65564,0.79265,1.75634,1.18082,0.000327827,0.000327827,0.000327827
17,4643.15,0.79519,1.60259,1.15053,0.70758,0.72872,0.80128,0.65514,0.78501,1.75723,1.16179,0.000324016,0.000324016,0.000324016
18,4916.1,0.78404,1.56992,1.13111,0.82914,0.79301,0.86391,0.70055,0.74643,1.65286,1.14646,0.000320204,0.000320204,0.000320204
19,5188.36,0.80048,1.49177,1.13293,0.86375,0.76076,0.85216,0.70036,0.76419,1.6221,1.15791,0.000316393,0.000316393,0.000316393
20,5462.07,0.77454,1.41619,1.13091,0.82908,0.77468,0.85995,0.70824,0.72197,1.53236,1.11587,0.000312581,0.000312581,0.000312581
21,5734.34,0.78462,1.4371,1.1546,0.81917,0.82619,0.88462,0.72133,0.78547,1.50477,1.15672,0.00030877,0.00030877,0.00030877
22,6006.71,0.78564,1.42713,1.14834,0.87825,0.75463,0.86608,0.71775,0.73404,1.43637,1.15005,0.000304958,0.000304958,0.000304958
23,6279.63,0.75763,1.31153,1.1228,0.87442,0.77327,0.86847,0.71415,0.76023,1.37932,1.1554,0.000301147,0.000301147,0.000301147
24,6552.51,0.75151,1.29553,1.12796,0.85314,0.82038,0.87197,0.7023,0.84701,1.41869,1.22525,0.000297335,0.000297335,0.000297335
25,6824.34,0.78244,1.30656,1.14718,0.8081,0.78172,0.85596,0.70006,0.73552,1.39907,1.11323,0.000293524,0.000293524,0.000293524
26,7098.5,0.74803,1.25352,1.12938,0.81946,0.83568,0.86451,0.72084,0.73168,1.33391,1.12901,0.000289712,0.000289712,0.000289712
27,7371.04,0.72187,1.21984,1.11014,0.90323,0.8383,0.9024,0.73512,0.81856,1.22457,1.21955,0.000285901,0.000285901,0.000285901
28,7645.34,0.73562,1.20562,1.11207,0.87395,0.80202,0.86937,0.70766,0.74892,1.36714,1.15331,0.000282089,0.000282089,0.000282089
29,7917.92,0.71434,1.15384,1.09731,0.90963,0.84929,0.90465,0.73592,0.7569,1.19687,1.15903,0.000278278,0.000278278,0.000278278
